DATE,VALUE
2021-11-30 16:23:14,75.41942300
2021-11-30 16:03:14,75.49620800
2021-11-30 15:43:13,75.42972500
2021-11-30 15:23:14,75.09071500
2021-11-30 15:03:14,75.27290800
2021-11-30 14:43:14,75.53325500
2021-11-30 14:23:14,75.55304800
2021-11-30 14:03:14,75.43657700
2021-11-30 13:43:14,75.43040300
2021-11-30 13:23:14,75.55172800
2021-11-30 13:03:14,75.60085400
2021-11-30 12:43:14,75.61361000
2021-11-30 12:23:14,75.55761500
2021-11-30 12:03:13,75.72289100
2021-11-30 11:43:14,75.73486000
2021-11-30 11:23:14,75.90677500
2021-11-30 11:03:14,75.86313000
2021-11-30 10:43:14,75.90420500
2021-11-30 10:23:14,75.92910500
2021-11-30 10:03:14,75.88647500
2021-11-30 09:43:14,75.94910100
2021-11-30 09:23:14,76.03365000
2021-11-30 09:03:14,76.15423200
2021-11-30 08:43:14,76.23001500
2021-11-30 08:23:13,76.03872500
2021-11-30 08:03:14,75.92352300
2021-11-30 07:43:14,76.04836800
2021-11-30 07:23:14,76.02231600
2021-11-30 07:03:14,76.09417000
2021-11-30 06:43:14,76.03456400
2021-11-30 06:23:14,75.99081700
2021-11-30 06:03:13,75.93874800
2021-11-30 05:43:14,75.85805500
2021-11-30 05:23:13,75.76636600
2021-11-30 05:03:14,75.50229800
2021-11-30 04:43:14,75.48412900
2021-11-30 04:23:14,75.49945600
2021-11-30 04:03:14,75.58603500
2021-11-30 03:43:14,75.57385500
2021-11-30 03:23:14,75.62125600
2021-11-30 03:03:14,75.60724900
2021-11-30 02:43:14,75.62612800
2021-11-30 02:23:14,75.60826400
2021-11-30 02:03:14,75.59598200
2021-11-30 01:43:14,75.60897400
2021-11-30 01:23:14,75.59354600
2021-11-30 01:03:14,75.60420400
2021-11-30 00:43:14,75.58167100
2021-11-30 00:23:14,75.61699300
2021-11-30 00:03:13,75.59131300
2021-11-29 23:43:14,75.59547500
2021-11-29 23:23:14,75.64084500
2021-11-29 23:03:13,75.68956500
2021-11-29 22:43:14,75.68185100
2021-11-29 22:23:13,75.57182500
2021-11-29 22:03:14,75.63104900
2021-11-29 21:43:14,75.75757000
2021-11-29 21:23:16,75.77421600
2021-11-29 21:03:14,75.72752600
2021-11-29 20:43:13,75.67840000
2021-11-29 20:23:14,75.68347500
2021-11-29 20:03:13,75.72163900
2021-11-29 19:43:14,75.73168800
2021-11-29 19:23:14,75.66195700
2021-11-29 19:03:13,75.60785800
2021-11-29 18:43:14,75.66693100
2021-11-29 18:23:14,75.67291900
2021-11-29 18:03:14,75.66368300
2021-11-29 17:43:13,75.65272100
2021-11-29 17:23:14,75.76589300
2021-11-29 17:03:14,75.82212400
2021-11-29 16:43:14,75.90911000
2021-11-29 16:23:14,75.79380600
2021-11-29 16:03:14,75.78700500
2021-11-29 15:43:14,75.69974900
2021-11-29 15:23:14,75.73659300
2021-11-29 15:03:13,75.48072900
2021-11-29 14:43:14,75.43733800
2021-11-29 14:23:14,75.46093700
2021-11-29 14:03:14,75.51752300
2021-11-29 13:43:14,75.61648500
2021-11-29 13:23:14,75.64439800
2021-11-29 13:03:14,75.78142300
2021-11-29 12:43:14,76.05364600
2021-11-29 12:23:14,76.06511500
2021-11-29 12:03:14,76.11891000
2021-11-29 11:43:14,76.11454600
2021-11-29 11:23:14,76.09962500
2021-11-29 11:03:14,76.06511500
2021-11-29 10:43:14,75.99863300
2021-11-29 10:23:14,76.13109000
2021-11-29 10:03:14,76.15646500
2021-11-29 09:43:14,76.07932500
2021-11-29 09:23:14,76.07983300
2021-11-29 09:03:14,76.18285500
2021-11-29 08:43:14,76.18310900
2021-11-29 08:23:14,76.20274900
2021-11-29 08:03:13,76.21220600
2021-11-29 07:43:14,76.11726100
2021-11-29 07:23:14,76.05090500
2021-11-29 07:03:14,76.01213200
