DATE,LAST
2021-11-16,72.2724000
2021-11-17,72.5553000
2021-11-18,72.8228000
2021-11-19,72.6022000
2021-11-20,72.7617000
2021-11-23,73.4506000
2021-11-24,74.8327000
2021-11-25,74.3726000
2021-11-26,74.6004000
2021-11-27,75.5873000
2021-11-30,74.9818000
2021-12-01,74.8926000
